カテゴリ,通し番号,質問文
情報システム開発力,35,オブジェクト指向プログラミングの考え方および基本的な用語（カプセル化，クラス，インスタンスなど）を説明できる．
情報システム開発力,36,Microsoft Windows MLやApple CoreMLなどの，機械学習における学習済みの学習器を利用して，アプリケーションを作成したことがある．
情報システム開発力,37,ニューラルネットワークを構築したことがある．または，学習のためのデータセットを作成したことがある．
情報システム開発力,38,自分のパソコンなどをインターネットへつなぐために，ルータのWAN側とLAN側の設定をおこなったことがある．
情報システム開発力,39,ルータのファイアウォールの設定をおこなったことがある．
情報システム開発力,40,サーバのネットワークの設定をおこなったことがある．
情報システム開発力,41,サーバのファイアウォールの設定をおこなったことがある．
情報システム開発力,42,サーバのhttpサービスの設定をおこなったことがある．
情報システム開発力,43,ユーザビリティにおける効果・効率・満足度について説明できる．
情報システム開発力,44,情報デザインとして，場所・辞書順・時間・カテゴリ・階層などに注意した情報の整理を心がけている．
情報倫理力,45,自身が所有する端末にマルウェア対策を施している．
情報倫理力,46,日頃から，パスワードの扱いに留意している．
情報倫理力,47,著作権法の「著作物」とは何か説明できる．
情報倫理力,48,著作権法の「著作権」について説明できる．
情報倫理力,49,著作権法の「著作者人格権」について説明できる．
情報倫理力,50,知的財産権について説明できる．
情報倫理力,51,個人情報保護法について説明でき，日頃から個人情報の取扱いに留意している．
情報倫理力,52,不正アクセス禁止法について説明できる．
情報倫理力,53,発信者のモラルとして，日頃から，誹謗・中傷・公序良俗に反する投稿をしないことに留意している．
情報倫理力,54,発信者のモラルとして，日頃から，投稿前に内容を再確認することを心がけている．
情報倫理力,55,発信者のモラルとして，日頃から，安易な拡散をしないことに留意している．
情報倫理力,56,情報は受信者の趣味嗜好に合わせてカスタマイズされている可能性があることを知っている．
情報倫理力,57,情報の受信時に，見たい情報以外がはじかれるフィルターバブルが起きる可能性があることを知っている．
情報倫理力,58,情報受信時に，似たような意見や考えが増幅されるエコーチェンバーが生じる可能性があることを知っている．
情報倫理力,59,オンライン売買において，サイト運営企業とその中の個々の店舗とでは信用性に違いがある場合があることを知っている．
情報倫理力,60,クレジットカード利用には，利用者としての責任が生じることを知っている．
情報倫理力,61,オンライン売買をおこなう前に，商品の説明や過去の取引評価などを確認することを心がけている．
情報倫理力,62,オンライン売買のあと，販売側からの直接的な接触が生じる可能性があることを知っている．
情報倫理力,63,日頃から，個人のプライバシーに関して，どこまでオープンとするかに留意している．
情報倫理力,64,意図しない情報漏洩が起こらないように，アプリやサービスをインストールしたり設定したりすることを心がけている．
情報倫理力,65,情報機器の利用によって自宅や行動範囲が他者に伝わってしまう可能性があることを知っている．
情報倫理力,66,日頃から，ニュースや新聞などでICTに関する情報に関心をもつよう心がけている．
