id,user_id,date_added,grade,required_time_seconds,qualification_status,ease_of_question_understanding,ease_of_answer_providing,current_knowledge_and_skills,knowledge_and_skills_at_graduation,improvement_prediction,comment
30,100,2024.01.15,B2,439,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,どちらともいえない,特になし
31,80,2024.01.15,B2,406,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
32,68,2024.01.15,B2,88,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば不当である,どちらかといえば妥当である,とてもそう思う,特になし
33,33,2024.01.15,B2,1442,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,かなり妥当である,ややそう思う,特になし
34,64,2024.01.15,B2,362,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,どちらかといえば不当である,どちらかといえば不当である,ややそう思う,特になし
35,59,2024.01.15,B2,506,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
36,72,2024.01.15,B2,603,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
37,49,2024.01.15,B2,974,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
38,52,2024.01.15,B2,498,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,特になし
39,85,2024.01.15,B2,685,いいえ,とても理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
40,53,2024.01.15,B2,439,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば不当である,どちらかといえば妥当である,ややそう思う,特になし
42,61,2024.01.15,B2,562,はい,とても理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば不当である,とてもそう思う,スマホからでも、やや画面が見づらかったがスムーズに操作できた。
43,58,2024.01.15,B2,443,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
44,36,2024.01.15,B2,826,はい,どちらかといえば理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,どちらともいえない,特になし
45,102,2024.01.15,B2,116,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば不当である,とてもそう思う,特になし
46,41,2024.01.15,B2,558,いいえ,とても理解しやすかった,とても理解しやすかった,どちらかといえば不当である,どちらかといえば不当である,ややそう思う,特になし
47,91,2024.01.15,B2,422,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
48,28,2024.01.15,B2,548,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,かなり妥当である,とてもそう思う,特になし
49,36,2024.01.15,B2,826,はい,どちらかといえば理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,どちらともいえない,特になし
50,62,2024.01.15,B2,963,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
51,76,2024.01.15,B2,881,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
52,74,2024.01.15,B2,1095,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,特になし
53,34,2024.01.15,B2,246,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,非常に不当である,どちらともいえない,特になし
54,30,2024.01.15,B2,159,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
55,32,2024.01.15,B2,371,いいえ,とても理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
56,77,2024.01.15,B2,517,いいえ,とても理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
57,39,2024.01.15,B2,255,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,どちらかといえば不当である,どちらかといえば妥当である,ややそう思う,特になし
59,33,2024.01.15,B2,1442,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,かなり妥当である,ややそう思う,特になし
60,103,2024.01.15,B2,611,いいえ,とても理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,かなり妥当である,どちらともいえない,特になし
61,89,2024.01.15,B2,301,いいえ,とても理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,特になし
62,61,2024.01.15,B2,562,はい,とても理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば不当である,とてもそう思う,スマホからでも、やや画面が見づらかったがスムーズに操作できた。
64,63,2024.01.15,B2,260,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,特になし
65,82,2024.01.15,B2,526,はい,どちらかといえば理解しにくかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,特になし
66,96,2024.01.15,B2,457,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,特になし
67,81,2024.01.15,B2,127,いいえ,非常に理解しにくかった,どちらかといえば理解しやすかった,非常に不当である,どちらかといえば妥当である,ややそう思う,特になし
68,33,2024.01.15,B2,1442,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,かなり妥当である,ややそう思う,特になし
69,60,2024.01.15,B2,407,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,どちらかといえば妥当である,とてもそう思う,特になし
70,43,2024.01.15,B2,532,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,かなり妥当である,どちらかといえば妥当である,ややそう思う,特になし
71,60,2024.01.15,B2,407,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,どちらかといえば妥当である,とてもそう思う,特になし
72,66,2024.01.15,B2,292,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,特になし
73,86,2024.01.15,B2,1128,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,聞き馴染みのない言葉がいくつかあったため、用語の説明を付けてもらえると助かります。
75,90,2024.01.15,B2,331,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しやすかった,どちらかといえば不当である,どちらかといえば不当である,ややそう思う,特になし
76,45,2024.01.15,B2,400,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,これから情報の教育に力を入れて行く動きが国として出てくると思うのでそれに遅れないように勉強していきたい
78,94,2024.01.15,B2,494,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
79,37,2024.01.15,B2,368,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
80,87,2024.01.15,B2,750,いいえ,とても理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
81,36,2024.01.15,B2,826,はい,どちらかといえば理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,どちらともいえない,特になし
82,48,2024.01.15,B2,710,はい,とても理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
83,55,2024.01.15,B2,556,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しやすかった,どちらかといえば不当である,どちらかといえば不当である,あまりそう思わない,特になし
84,99,2024.01.15,B2,609,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,調べながらできるをできるに含むかによって結果がかわってくると思う
85,44,2024.01.15,B2,407,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,どちらかといえば不当である,どちらかといえば妥当である,ややそう思う,1年生の頃にやったアンケートよりは確実に成長していると思うが、まだまだ上の段階があり、できないことが多いと思った。もっと技術を身につけておきたい。その中でもオンラインでのグループワークは今後も増えると思うので確実に出来るようにしたい。
86,78,2024.01.15,B2,461,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,かなり妥当である,かなり妥当である,とてもそう思う,特になし
87,83,2024.01.15,B2,673,いいえ,とても理解しやすかった,どちらかといえば理解しにくかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
88,104,2024.01.15,B2,593,いいえ,とても理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,どちらかといえば妥当である,ややそう思う,一回目に回答を記入をした後に４カテゴリの中の最後の二つは入力されていたけど最初の二つはもう一度入力しなければならなかったので少し面倒だった。
89,50,2024.01.15,B2,110,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,自分の能力と周囲の能力が視覚的に比較することが出来る点がよかった。
90,98,2024.01.15,B2,171,いいえ,とても理解しやすかった,とても理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
91,88,2024.01.15,B2,927,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
92,109,2024.01.15,B3,243,いいえ,とても理解しやすかった,とても理解しやすかった,かなり妥当である,かなり妥当である,どちらともいえない,特になし
93,113,2024.01.17,B3,482,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば不当である,ややそう思う,特になし
94,115,2024.01.17,B3,440,はい,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,あまりそう思わない,特になし
95,117,2024.01.18,B3,404,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,あまりそう思わない,特になし
96,118,2024.01.18,B3,546,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,かなり妥当である,ややそう思う,特になし
97,119,2024.01.18,B3,415,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
98,108,2024.01.18,B4,181,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,かなり妥当である,とてもそう思う,特になし
99,123,2024.01.18,B3,573,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しやすかった,どちらかといえば不当である,どちらかといえば不当である,とてもそう思う,具体的にこういう分野の質問が少ないとは言えないのですが、情報活用に関する知識というには少しジャンルが少ないように感じました。
100,105,2024.01.18,B4,358,いいえ,とても理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,とてもそう思う,特になし
101,106,2024.01.18,B4,246,いいえ,とても理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,あまりそう思わない,特になし
102,124,2024.01.18,B4,361,いいえ,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,かなり妥当である,どちらかといえば妥当である,あまりそう思わない,研究がんばれー
103,126,2024.01.18,B4,355,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,どちらともいえない,
104,127,2024.01.19,B4,342,いいえ,どちらかといえば理解しにくかった,どちらかといえば理解しにくかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
105,129,2024.01.19,B4,382,いいえ,どちらかといえば理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,あまりそう思わない,特になし
106,133,2024.01.24,B4,235,いいえ,とても理解しやすかった,とても理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
107,17,2024.01.25,B3,72,はい,どちらかといえば理解しやすかった,とても理解しやすかった,かなり妥当である,かなり妥当である,あまりそう思わない,特になし
108,17,2024.06.01,B4,142,はい,どちらかといえば理解しやすかった,どちらかといえば理解しやすかった,どちらかといえば妥当である,どちらかといえば妥当である,ややそう思う,特になし
